Date,Bridgewater,AQR,MAN,Winton,Gresham
11/30/2007,-0.035867973,NA,NA,NA,NA
12/31/2007,0.031314137,NA,NA,NA,NA
1/31/2008,0.092983658,NA,NA,NA,NA
2/29/2008,0.07933423,NA,NA,NA,NA
3/31/2008,0.045576479,NA,NA,NA,NA
4/30/2008,-0.10260295,NA,NA,NA,NA
5/31/2008,0.063252593,NA,NA,NA,NA
6/30/2008,0.063492551,NA,NA,NA,NA
7/31/2008,-0.090190234,NA,NA,NA,NA
8/31/2008,-0.024966346,NA,NA,NA,NA
9/30/2008,-0.087662548,NA,NA,NA,NA
10/31/2008,0.06063827,NA,NA,NA,NA
11/30/2008,0.060199639,NA,NA,NA,NA
12/31/2008,0.028471727,NA,NA,NA,NA
1/31/2009,0.033307604,NA,NA,0.0117,NA
2/28/2009,-0.008834885,NA,NA,-0.003,NA
3/31/2009,-0.011394178,NA,NA,-0.0177,NA
4/30/2009,-0.017135183,NA,NA,-0.03,NA
5/31/2009,-0.026028441,NA,NA,-0.02,NA
6/30/2009,-0.028066736,NA,NA,-0.0122,NA
7/31/2009,0.018019343,NA,NA,-0.0147,NA
8/31/2009,0.007717747,NA,NA,0.004,NA
9/30/2009,0.057250668,NA,NA,0.0283,NA
10/31/2009,-0.004032079,NA,NA,-0.0146,NA
11/30/2009,0.097785747,NA,NA,0.0517,NA
12/31/2009,-0.059749064,NA,NA,-0.0249,NA
1/31/2010,0.037072896,NA,NA,-0.0243,NA
2/28/2010,0.05360612,NA,NA,0.0238,NA
3/31/2010,-0.021870116,NA,NA,0.0485,NA
4/30/2010,0.055344904,NA,NA,0.0178,NA
5/31/2010,0.009411546,NA,NA,-0.0083,NA
6/30/2010,0.069809569,NA,NA,0.0169,NA
7/31/2010,0.029218486,NA,NA,-0.0275,NA
8/31/2010,0.057250584,NA,NA,0.0541,NA
9/30/2010,0.065273248,NA,NA,0.0108,NA
10/31/2010,0.048230229,NA,NA,0.0321,NA
11/30/2010,-0.018726556,NA,NA,-0.0255,NA
12/31/2010,0.106466056,NA,NA,0.0469,NA
1/31/2011,-0.020704786,NA,NA,0.0021,NA
2/28/2011,0.046465053,NA,NA,0.0202,NA
3/31/2011,0.028532326,NA,NA,0.0031,NA
4/30/2011,0.100484311,NA,NA,0.0377,NA
5/31/2011,-0.015957562,NA,NA,-0.0259,NA
6/30/2011,0.000168199,NA,NA,-0.0262,NA
7/31/2011,0.080804309,NA,NA,0.0534,NA
8/31/2011,0.09699019,NA,NA,0.0199,NA
9/30/2011,-0.001404714,NA,NA,0.0034,NA
10/31/2011,-0.011481754,NA,NA,-0.0233,NA
11/30/2011,0.017269654,NA,NA,0.0106,NA
12/31/2011,0.003085222,NA,NA,0.0172,NA
1/31/2012,-0.008334258,NA,NA,0.0088,NA
2/29/2012,0.007509903,NA,NA,-0.0084,NA
3/31/2012,-0.003570683,NA,NA,-0.0058,NA
4/30/2012,0.009228863,NA,NA,0.0013,NA
5/31/2012,-0.004392946,NA,NA,0.0016,NA
6/30/2012,-0.02507969,NA,NA,-0.0334,NA
7/31/2012,0.025219211,NA,NA,0.0405,NA
8/31/2012,0.011488724,NA,NA,-0.0122,NA
9/30/2012,0.024492976,-0.0021,NA,-0.022,NA
10/31/2012,-0.005282296,0.0098,NA,-0.0244,NA
11/30/2012,-0.005370241,0.0036,NA,0.0126,NA
12/31/2012,0.015956507,0.0192,NA,0.0161,NA
1/31/2013,0.015485522,0.0567,NA,0.0232,NA
2/28/2013,-0.019615727,0.0106,NA,-0.0035,NA
3/31/2013,0.002364888,0.0233,NA,0.0215,NA
4/30/2013,0.019199843,0.0494,NA,0.0381,NA
5/31/2013,0.025549876,-0.0318,NA,-0.0234,NA
6/30/2013,-0.039667253,0.0156,NA,-0.0233,NA
7/31/2013,0.037353007,0.0073,NA,-0.0122,NA
8/31/2013,0.007388493,-0.0262,NA,-0.0284,NA
9/30/2013,0.026213778,0.0127,NA,0.0334,NA
10/31/2013,0.02566745,0.0623,NA,0.0281,NA
11/30/2013,0.00335455,0.0445,NA,0.0324,NA
12/31/2013,-0.00769258,0.0026,NA,0.0073,NA
1/31/2014,-0.000162386,-0.0497,NA,-0.0209,NA
2/28/2014,0.040151285,0.0011,NA,0.0253,NA
3/31/2014,-0.002810392,0.0195,NA,-0.0032,NA
4/30/2014,0.021653586,-0.0019,NA,0.0215,NA
5/31/2014,0.028396938,0.0249,NA,0.0245,NA
6/30/2014,0.022867003,0.0114,NA,0.0038,NA
7/31/2014,-0.026719931,0.0311,NA,-0.0226,NA
8/31/2014,0.030952748,0.0097,NA,0.0444,NA
9/30/2014,-0.041832885,-0.0108,NA,-0.0082,NA
10/31/2014,-0.007737587,0.0413,NA,0.0432,NA
11/30/2014,0.019432376,0.0369,NA,0.0628,NA
12/31/2014,0.002635417,0.0231,NA,0.0073,NA
1/31/2015,0.096620104,-0.0186,NA,0.0356,NA
2/28/2015,0.036178407,-0.0355,NA,0.001,NA
3/31/2015,0.039939767,0.029,NA,0.0246,NA
4/30/2015,-0.0109489,-0.0307,NA,-0.0321,NA
5/31/2015,0.022052242,0.0238,NA,0.0007,NA
6/30/2015,-0.038901983,-0.0192,NA,-0.0314,NA
7/31/2015,0.014481993,0.0268,NA,0.0395,NA
8/31/2015,-0.067042369,-0.0025,NA,-0.046,NA
9/30/2015,0.001430399,0.0569,0.028433333,0.0363,NA
10/31/2015,0.036185356,-0.0118,-0.010366667,-0.0145,NA
11/30/2015,0.014147713,-0.0015,0.025933333,0.0352,NA
12/31/2015,-0.034197039,0.0144,-0.012566667,-0.015,NA
1/31/2016,0.010518789,-0.0045,0.031533333,0.0385,NA
2/29/2016,-0.057704943,-0.0148,0.001033333,0.0213,NA
3/31/2016,-0.015985481,-0.009,0.007033333,-0.0305,NA
4/30/2016,-0.018251706,-0.012,-0.025966667,-0.0145,NA
5/31/2016,0.001056289,-0.0164,-0.002766667,-0.0155,NA
6/30/2016,-0.027728774,0.0455,0.022633333,0.0531,NA
7/31/2016,0.004674141,-0.0002,0.024433333,0.0099,NA
8/31/2016,0.012931351,-0.0035,-0.013166667,-0.018,NA
9/30/2016,0.007437362,-0.0039,0.000933333,-0.0022,-0.0042
10/31/2016,0.09512465,0.007,0.007133333,-0.0255,-0.0121
11/30/2016,0.02078603,-0.0078,0.003933333,-0.0115,0.0179
12/31/2016,0.029100765,0.0077,0.020433333,0.0159,-0.0121
1/31/2017,-0.008017106,-0.005338203,-0.019666667,-0.0104,-0.0028
2/28/2017,0.014360629,0.013555774,0.020433333,0.0235,0.0078
3/31/2017,0.023893667,-0.022847141,-0.000666667,0.0009,-0.0048
4/30/2017,-0.016762048,-0.004391201,0.014133333,-0.0064,-0.0021
5/31/2017,-0.020432178,-0.008047684,-0.000866667,0.0027,0.0139
6/30/2017,-0.002236276,0.007451571,-0.018166667,-0.0179,0.0001
7/31/2017,-0.00062006,0.031104728,0.022133333,-0.0002,-0.0183
8/31/2017,0.006213689,0.023475345,0.029933333,0.0264,0.0206
9/30/2017,0.005258147,-4.62E-05,-0.008966667,-0.0162,0.0062
10/31/2017,0.028377054,0.011650796,0.041333333,0.0397,0.0163
11/30/2017,0.006140283,0.011136828,0.017933333,0.004,0.0045
12/31/2017,0.007807888,0.005922146,0.011533333,0.0373,0.0114
